Rk,Player,G,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Team
129,Stephen Piscotty,709,2015,2022,24-31,709,2749,2467,317,634,395,140,9,90,347,23,12,223,602,0.257,0.326,0.43,0.757,105,1062,72,38,3,17,5,97H38D,"OAK,STL"
130,Andrew Benintendi,706,2016,2022,21-27,706,3005,2652,379,740,492,160,17,71,370,63,24,294,548,0.279,0.352,0.433,0.784,109,1147,40,20,9,30,9,*78H/D,"BOS,KCR"
131,Jace Peterson,705,2014,2022,24-32,705,2227,1937,227,450,312,88,14,36,203,60,21,248,485,0.232,0.322,0.348,0.67,84,674,35,15,14,13,11,45H793/618D,"ATL,BAL,MIL,NYY,SDP"
132,Joey Gallo,698,2015,2022,21-28,698,2648,2225,381,450,189,85,8,168,360,27,8,397,980,0.202,0.329,0.474,0.803,111,1055,12,23,1,2,19,79358HD,"NYY,TEX"
133,Willson Contreras,696,2016,2022,24-30,696,2698,2340,335,607,363,127,9,108,345,21,17,269,651,0.259,0.352,0.46,0.812,115,1076,65,73,3,13,8,2HD73/95,CHC
134,Robinson Chirinos,692,2011,2022,27-38,692,2391,2063,272,467,256,113,5,93,299,5,4,226,645,0.226,0.321,0.421,0.742,97,869,45,69,15,18,2,2HD/354,"BAL,CHC,HOU,NYM,TBR,TEX"
135,Miguel Sanó,691,2015,2022,22-29,691,2853,2496,386,585,294,123,6,162,418,5,3,333,1038,0.234,0.326,0.483,0.809,117,1206,52,13,0,11,10,53D9H,MIN
136,Trey Mancini,689,2016,2022,24-30,689,2878,2604,354,708,445,137,11,115,345,2,1,219,653,0.272,0.335,0.465,0.801,116,1212,73,38,0,17,11,37D9H,BAL
137,Christian Vázquez,684,2014,2022,23-31,684,2473,2280,268,596,418,122,5,51,259,28,14,156,449,0.261,0.311,0.386,0.697,85,881,70,14,8,15,6,2HD35/4,BOS
138,Cody Bellinger,682,2017,2022,21-26,682,2758,2420,406,609,326,121,18,144,385,59,12,313,638,0.252,0.338,0.495,0.833,121,1198,34,9,0,15,47,8397H/D,LAD
139,Jake Lamb,675,2014,2022,23-31,675,2516,2187,319,518,297,106,22,93,334,18,11,285,646,0.237,0.328,0.433,0.761,98,947,52,23,0,21,22,5H37D/9,"ARI,CHW,LAD,OAK,TOR"
140,Leury García,669,2013,2022,22-31,669,2320,2138,277,543,411,84,15,33,196,63,17,108,534,0.254,0.295,0.354,0.649,77,756,35,24,34,16,1,8479H65D/1,"CHW,TEX"
141,Travis d'Arnaud,665,2013,2022,24-33,665,2523,2295,277,575,362,118,5,90,328,2,1,186,486,0.251,0.311,0.424,0.735,99,973,70,23,3,16,9,2H3D/45,"ATL,LAD,NYM,TBR"
142,Matt Olson,665,2016,2022,22-28,665,2766,2395,363,604,312,134,1,157,425,7,2,319,650,0.252,0.347,0.506,0.852,133,1211,58,36,0,16,29,39H/D,"ATL,OAK"
143,Nomar Mazara,662,2016,2022,21-27,662,2629,2390,291,617,411,112,9,85,359,7,6,195,573,0.258,0.318,0.419,0.737,92,1002,47,24,0,20,11,97DH,"CHW,DET,SDP,TEX"
144,Yolmer Sánchez,658,2014,2022,22-30,658,2462,2240,252,548,379,113,24,32,215,30,23,161,519,0.245,0.3,0.359,0.66,81,805,38,23,25,13,3,45H6D/19,"BOS,CHW"
145,Aaron Judge,657,2016,2022,24-30,657,2836,2391,469,661,362,107,4,188,431,32,12,403,830,0.276,0.382,0.56,0.942,153,1340,71,18,0,20,26,9D8H,NYY
146,Matt Chapman,656,2017,2022,24-29,656,2711,2380,381,572,292,140,16,124,337,5,8,280,723,0.24,0.326,0.469,0.795,117,1116,45,31,0,20,0,*5/6H,"OAK,TOR"
147,Manuel Margot,651,2016,2022,21-27,651,2349,2147,261,548,373,105,23,47,225,80,34,172,419,0.255,0.311,0.391,0.702,93,840,28,8,6,16,8,89H7D,"SDP,TBR"
148,Hernán Pérez,651,2012,2021,21-30,651,1846,1745,192,436,306,74,11,45,180,69,16,76,397,0.25,0.28,0.382,0.662,74,667,37,1,12,12,3,54H97638/1D,"CHC,DET,MIL,WSN"
149,Max Muncy,647,2015,2022,24-31,647,2444,2027,368,468,243,87,7,131,342,11,2,375,582,0.231,0.357,0.475,0.831,123,962,23,29,0,13,16,345HD97,"LAD,OAK"
150,Tommy La Stella,642,2014,2022,25-33,642,1859,1648,203,442,305,92,5,40,201,5,3,167,203,0.268,0.339,0.403,0.742,101,664,40,15,4,9,6,4H5D3/1,"ATL,CHC,LAA,OAK,SFG"
151,Kenley Jansen,640,2010,2022,22-34,640,10,9,1,3,2,1,0,0,1,0,0,1,3,0.333,0.4,0.444,0.844,129,4,1,0,0,0,0,1/H,"ATL,LAD"
152,Hunter Renfroe,631,2016,2022,24-30,631,2382,2168,310,514,253,117,3,141,349,13,4,177,630,0.237,0.296,0.489,0.785,108,1060,35,15,0,22,5,97H8/D3,"BOS,MIL,SDP,TBR"
153,Rafael Devers,630,2017,2022,20-25,630,2706,2474,414,706,395,173,7,131,418,23,17,204,572,0.285,0.343,0.52,0.863,125,1286,49,19,1,8,28,*5HD/46,BOS
154,Amed Rosario,625,2017,2022,21-26,625,2499,2354,312,644,464,102,31,47,232,72,28,115,497,0.274,0.31,0.403,0.713,95,949,52,13,5,12,6,*6H8/7D,"CLE,NYM"
155,Donovan Solano,625,2012,2022,24-34,625,2011,1841,190,510,388,90,8,24,187,13,4,113,357,0.277,0.326,0.374,0.7,91,688,41,28,14,15,6,4H657/D,"CIN,MIA,NYY,SFG"
156,Ozzie Albies,622,2017,2022,20-25,622,2703,2485,399,672,397,152,25,98,344,63,18,178,468,0.27,0.321,0.47,0.791,105,1168,18,18,2,20,8,*4/H,ATL
157,Ben Gamel,619,2016,2022,24-30,619,1974,1748,240,449,304,96,14,35,173,19,15,199,498,0.257,0.335,0.388,0.723,97,678,24,11,6,10,6,79H8/D3,"CLE,MIL,NYY,PIT,SEA"
158,José Peraza,618,2015,2021,21-27,618,2159,2011,234,534,403,82,14,35,182,79,31,89,282,0.266,0.306,0.372,0.679,79,749,39,35,12,12,6,64H785/1D9,"BOS,CIN,LAD,NYM"
159,Orlando Arcia,613,2016,2022,21-27,613,2096,1928,202,468,337,77,7,47,210,40,16,144,427,0.243,0.295,0.363,0.658,73,700,56,5,5,14,15,6H47/D518,"ATL,MIL"
160,Ian Happ,606,2017,2022,22-27,606,2151,1858,273,460,257,97,10,96,277,34,16,258,628,0.248,0.343,0.466,0.809,114,865,40,19,5,11,18,78H9453/D1,CHC
161,Gary Sánchez,606,2015,2022,22-29,606,2461,2176,326,497,251,96,2,148,376,5,2,237,656,0.228,0.313,0.478,0.792,111,1041,53,37,0,11,9,2DH/3,"MIN,NYY"
162,Eric Thames,605,2011,2020,24-33,605,2112,1868,286,451,238,100,17,96,235,18,6,207,617,0.241,0.325,0.467,0.792,108,873,25,28,2,7,14,37H9D,"MIL,SEA,TOR,WSN"
163,Delino DeShields,601,2015,2021,22-28,601,2114,1828,302,450,331,81,19,19,139,111,32,211,487,0.246,0.327,0.342,0.669,77,626,13,14,49,12,1,87HD/4,"CIN,CLE,TEX"
164,Rhys Hoskins,599,2017,2022,24-29,599,2579,2164,358,524,247,134,7,136,369,13,7,360,615,0.242,0.357,0.499,0.856,127,1080,36,35,0,17,9,37H/D,PHI
165,Ehire Adrianza,597,2013,2022,23-32,597,1499,1324,178,320,216,74,9,21,145,19,8,121,290,0.242,0.31,0.359,0.669,82,475,19,18,17,17,5,H654739/D18,"ATL,MIN,SFG,WSN"
166,Matt Duffy,594,2014,2022,23-31,594,2236,2039,246,574,448,90,9,27,204,40,14,154,378,0.282,0.339,0.374,0.713,97,763,70,27,6,10,1,5H463/D71,"CHC,LAA,SFG,TBR"
167,Brandon Drury,585,2015,2022,22-29,585,2033,1884,215,478,283,120,6,69,240,4,5,121,448,0.254,0.303,0.434,0.737,91,817,48,17,0,11,3,54H793D6/1,"ARI,CIN,NYM,NYY,TOR"
168,Teoscar Hernández,585,2016,2022,23-29,585,2262,2068,311,540,298,113,10,119,342,34,19,170,666,0.261,0.32,0.498,0.818,119,1030,42,14,0,9,3,978HD,"HOU,TOR"
169,Albert Almora,584,2016,2022,22-28,584,1545,1443,181,377,267,72,5,33,160,6,6,74,280,0.261,0.298,0.387,0.685,79,558,40,6,11,11,6,8H97/1D,"CHC,CIN,NYM"
170,Yoán Moncada,583,2016,2022,21-27,583,2476,2185,303,559,347,121,17,74,269,28,13,258,731,0.256,0.339,0.428,0.767,109,936,14,21,3,9,5,54DH,"BOS,CHW"
171,Sergio Romo,573,2008,2022,25-39,573,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-100,0,0,0,0,0,0,5-Jan,"LAD,MIA,MIN,OAK,SEA,SFG,TBR,TOR"
172,Omar Narváez,567,2016,2022,24-30,567,1979,1729,206,457,331,74,2,50,184,0,2,215,378,0.264,0.35,0.396,0.746,104,685,34,19,5,11,8,2HD/43,"CHW,MIL,SEA"
173,Mark Melancon,565,2009,2022,24-37,565,2,0,0,0,0,0,0,0,0,0,0,1,0,,1,,,,0,0,0,1,0,0,1,"ARI,ATL,BOS,HOU,NYY,PIT,SDP,SFG,WSN"
174,Paul DeJong,564,2017,2022,23-28,564,2259,2021,287,478,276,101,4,97,288,19,7,178,574,0.237,0.308,0.434,0.743,99,878,40,40,0,19,4,*64H,STL
175,Charlie Culberson,563,2012,2022,23-33,563,1270,1172,135,290,197,57,8,28,140,21,10,67,328,0.247,0.294,0.381,0.675,80,447,29,12,13,6,9,H576439/1D,"ATL,COL,LAD,SFG,TEX"
176,Byron Buxton,562,2015,2022,21-28,562,2048,1875,302,455,232,111,19,93,247,73,10,127,591,0.243,0.297,0.471,0.768,106,883,10,23,14,9,3,8DH,MIN
177,Guillermo Heredia,560,2016,2022,25-31,560,1548,1370,176,315,212,74,2,27,112,7,12,130,308,0.23,0.31,0.346,0.656,79,474,24,32,11,5,5,87H9/D,"ATL,NYM,PIT,SEA,TBR"
178,Ryan Goins,555,2013,2020,25-32,555,1690,1545,154,353,248,71,12,22,158,6,6,108,371,0.228,0.278,0.333,0.611,65,514,46,3,23,11,1,46H59/D731,"CHW,KCR,TOR"
179,Austin Hedges,554,2015,2022,22-29,554,1834,1673,161,319,201,52,2,64,192,11,3,110,520,0.191,0.245,0.339,0.584,58,567,38,16,21,14,11,2H/D5,"CLE,SDP"
180,Jeimer Candelario,551,2016,2022,22-28,551,2253,1992,260,478,292,114,13,59,221,7,5,226,540,0.24,0.325,0.399,0.724,98,795,30,29,0,6,4,53HD,"CHC,DET"
181,Juan Soto,551,2018,2022,19-23,551,2379,1910,391,558,326,107,8,117,353,37,14,449,406,0.292,0.427,0.54,0.967,159,1032,54,8,1,11,52,*79H/D,WSN
182,Tony Kemp,545,2016,2022,24-30,545,1570,1352,186,324,229,60,10,25,125,33,12,163,232,0.24,0.329,0.354,0.683,91,479,22,25,13,16,2,47H8D/96,"CHC,HOU,OAK"
183,Aledmys Díaz,544,2016,2022,25-31,544,2021,1844,248,494,309,113,4,68,251,14,11,132,300,0.268,0.323,0.444,0.767,106,819,51,25,3,17,13,654H37D/9,"HOU,STL,TOR"
184,Ryan McMahon,538,2017,2022,22-27,538,1897,1680,227,408,250,83,7,68,255,16,6,194,530,0.243,0.324,0.422,0.746,89,709,35,13,1,9,5,54H3/6D,COL
185,Brandon Nimmo,538,2016,2022,23-29,538,2052,1702,287,454,286,92,21,55,181,20,14,286,475,0.267,0.386,0.442,0.829,129,753,20,50,6,8,5,879H/D,NYM
186,Gio Urshela,538,2015,2022,23-30,538,1891,1755,218,473,319,93,4,57,227,3,2,111,362,0.27,0.314,0.425,0.739,100,745,64,10,2,13,1,56H/4D37,"CLE,MIN,NYY,TOR"
187,Harrison Bader,523,2017,2022,23-28,523,1715,1530,226,376,241,72,11,52,168,55,14,135,438,0.246,0.32,0.409,0.729,99,626,15,36,3,11,14,8H97/D,STL
188,Darin Ruf,520,2012,2022,25-35,520,1521,1321,182,325,196,63,3,63,187,6,1,163,414,0.246,0.336,0.441,0.778,113,583,36,23,1,13,4,3H79D/15,"PHI,SFG"
189,Mitch Haniger,516,2016,2022,25-31,516,2226,1975,316,517,301,102,10,104,296,18,6,198,527,0.262,0.337,0.482,0.818,124,951,37,34,1,18,9,98D7/H,"ARI,SEA"
190,Hunter Dozier,514,2016,2022,24-30,514,2033,1832,235,449,258,98,25,68,216,15,12,174,537,0.245,0.314,0.437,0.751,101,801,43,15,0,12,2,539D7H,KCR
191,Gleyber Torres,514,2018,2022,21-25,514,2064,1845,258,496,317,90,2,87,272,31,12,184,439,0.269,0.337,0.461,0.798,117,851,41,13,5,17,8,46H/D,NYY
192,Raimel Tapia,512,2016,2022,22-28,512,1674,1555,212,432,312,85,12,23,159,50,14,96,308,0.278,0.32,0.392,0.712,81,610,24,5,6,9,3,7H98D,"COL,TOR"
193,Roberto Pérez,511,2014,2022,25-33,511,1752,1505,165,312,196,57,4,55,192,2,1,190,521,0.207,0.298,0.36,0.658,75,542,41,10,35,12,2,2H/D3,"CLE,PIT"
194,Sandy León,508,2012,2022,23-33,508,1620,1452,148,306,216,57,2,31,141,1,1,125,412,0.211,0.279,0.317,0.595,59,460,26,15,19,9,3,2H/D153,"BOS,CLE,MIA,WSN"
195,Steven Souza Jr.,505,2014,2022,25-33,505,1895,1669,223,383,232,71,8,72,207,42,17,198,601,0.229,0.318,0.411,0.729,98,686,30,21,3,4,2,9HD7/8,"ARI,CHC,LAD,SEA,TBR,WSN"
196,Chad Pinder,502,2016,2022,24-30,502,1579,1450,185,351,210,81,3,57,179,5,4,97,430,0.242,0.296,0.42,0.716,97,609,38,18,4,9,1,79H456D8/31,OAK
197,Tyler Naquin,500,2016,2022,25-31,500,1657,1514,204,408,253,90,9,56,217,19,12,110,423,0.269,0.324,0.452,0.776,101,684,27,17,5,11,10,89H7D,"CIN,CLE"
198,Willy Adames,498,2018,2022,22-26,498,1955,1762,264,449,272,93,3,81,231,19,13,180,556,0.255,0.325,0.449,0.774,110,791,36,5,4,4,5,*6H4/D,"MIL,TBR"
199,Tyler Clippard,498,2007,2021,22-36,498,18,15,0,3,2,1,0,0,0,0,0,0,6,0.2,0.2,0.267,0.467,24,4,1,0,3,0,0,1,"ARI,CHW,CLE,HOU,MIN,NYM,NYY,OAK,TOR,WSN"
200,Colin Moran,497,2016,2022,23-29,497,1681,1511,164,398,271,75,3,49,238,1,3,140,374,0.263,0.327,0.414,0.741,99,626,41,12,0,18,8,53HD4/76,"CIN,HOU,PIT"
